"name","role_type","film_count"
"Randy Newman","Musician","9"
"Andrew Stanton","Storywriter","8"
"Andrew Stanton","Screenwriter","8"
"Michael Giacchino","Musician","8"
"Pete Docter","Storywriter","7"
"John Lasseter","Storywriter","7"
"Darla K. Anderson","Producer","5"
"John Lasseter","Director","5"
"Thomas Newman","Musician","4"
"Pete Docter","Director","4"
"Joe Ranft","Storywriter","3"
"Bob Peterson","Screenwriter","3"
"Lee Unkrich","Co-director","3"
"Brad Bird","Screenwriter","3"
"Meg LeFauve","Screenwriter","3"
"Brad Bird","Director","3"
"Pete Docter","Screenwriter","3"
"Andrew Stanton","Director","3"
"Brad Bird","Storywriter","3"
"Denise Ream","Producer","3"
"Jonas Rivera","Producer","3"
"Bob Peterson","Storywriter","2"
"Mychael","Musician","2"
"Dan Scanlon","Screenwriter","2"
"Kelsey Mann","Storywriter","2"
"Kevin Reher","Producer","2"
"Peter Sohn","Storywriter","2"
"Dan Scanlon","Director","2"
"Kiel Murray","Screenwriter","2"
"Matthew Aldrich","Storywriter","2"
"Mark Nielsen","Producer","2"
"Jason Headley","Screenwriter","2"
"Jeff Danna","Musician","2"
"Jason Headley","Storywriter","2"
"Meg LeFauve","Storywriter","2"
"Kori Rae","Producer","2"
"Dan Gerson","Screenwriter","2"
"Lee Unkrich","Storywriter","2"
"Peter Sohn","Director","2"
"Lee Unkrich","Director","2"
"John Walker","Producer","2"
"Dan Scanlon","Storywriter","2"
"Lindsey Collins","Producer","2"
"Dave Holstein","Screenwriter","1"
"Ben Queen","Screenwriter","1"
"Martin Hynes","Storywriter","1"
"Trent Reznor","Musician","1"
"Ralph Guggenheim","Producer","1"
"Bob Shaw","Screenwriter","1"
"Mike Jones","Storywriter","1"
"Kemp Powers","Screenwriter","1"
"Domee Shi","Screenwriter","1"
"Rashida Jones","Storywriter","1"
"Robert L. Baird","Screenwriter","1"
"Angus MacLane","Co-director","1"
"Joe Ranft","Co-director","1"
"Erik Benson","Storywriter","1"
"Keith Bunin","Storywriter","1"
"Galyn Susman","Producer","1"
"Angus MacLane","Storywriter","1"
"Ben Queen","Storywriter","1"
"Brad Lewis","Storywriter","1"
"Victoria Strouse","Screenwriter","1"
"Eyal Podell","Storywriter","1"
"Adrian Molina","Screenwriter","1"
"Jonathan E. Stewart","Storywriter","1"
"Michael Arndt","Screenwriter","1"
"Adrian Molina","Co-director","1"
"Doug Chamberlin","Screenwriter","1"
"Domee Shi","Director","1"
"Jesse Andrews","Musician","1"
"Mark Andrews","Producer","1"
"Atticus Ross","Musician","1"
"Jim Capobianco","Storywriter","1"
"Mike Rich","Screenwriter","1"
"Will McCormack","Storywriter","1"
"Dan Fogelman","Storywriter","1"
"Mark Andrews","Director","1"
"Karen Robert Jackson","Producer","1"
"John Hoberg","Storywriter","1"
"Donald McEnery","Screenwriter","1"
"Domee Shi","Storywriter","1"
"Jason Katz","Storywriter","1"
"Tom McCarthy","Storywriter","1"
"Kat Likkel","Screenwriter","1"
"Adrian Molina","Storywriter","1"
"Ludwig G̦ransson","Musician","1"
"Joss Whedon","Screenwriter","1"
"Ash Brannon","Co-director","1"
"Julia Cho","Storywriter","1"
"Jesse Andrews","Storywriter","1"
"Mark Andrews","Musician","1"
"Dana Murray","Producer","1"
"Keith Bunin","Screenwriter","1"
"Bonnie Arnold","Producer","1"
"del Carmen","Storywriter","1"
"Jim Morris","Producer","1"
"Sarah Streicher","Storywriter","1"
"Stephany Folsom","Screenwriter","1"
"Ronnie del Carmen","Co-director","1"
"Rita Hsiao","Screenwriter","1"
"Brenda Hsueh","Screenwriter","1"
"Dan Fogelman","Screenwriter","1"
"Jesse Andrews","Producer","1"
"Mike Jones","Screenwriter","1"
"Jan Pinkava","Storywriter","1"
"Chris Webb","Screenwriter","1"
"Brad Lewis","Co-director","1"
"Kemp Powers","Storywriter","1"
"David Silverman","Co-director","1"
"David Reynolds","Screenwriter","1"
"John Lasseter","Screenwriter","1"
"Joe Ranft","Screenwriter","1"
"Jorgen Klubien","Storywriter","1"
"Jesse Andrews","Screenwriter","1"
"Jim Reardon","Screenwriter","1"
"Alec Sokolow","Screenwriter","1"
"Andrew Stanton","Co-director","1"
"Nicole Paradis Grindle","Producer","1"
"Mark Andrews","Storywriter","1"
"Angus MacLane","Director","1"
"Kat Likkel","Storywriter","1"
"Josh Cooley","Storywriter","1"
"Julia Cho","Screenwriter","1"
"Jesse Andrews","Director","1"
"Mark Andrews","Co-director","1"
"Helene Plotkin","Producer","1"
"Dan Gerson","Storywriter","1"
"Mark Andrews","Screenwriter","1"
"Ash Brannon","Storywriter","1"
"Matthew Aldrich","Screenwriter","1"
"Ralph Eggleston","Storywriter","1"
"Jeff Pidgeon","Storywriter","1"
"Jan Pinkava","Co-director","1"
"Brenda Hsueh","Storywriter","1"
"Josh Cooley","Director","1"
"Robert L. Baird","Storywriter","1"
"Andrea Datzman","Musician","1"
"Brian Fee","Director","1"
"Bob Peterson","Co-director","1"
"Graham Walters","Producer","1"
"Angus MacLane","Screenwriter","1"
"Kemp Powers","Co-director","1"
"Jill Culton","Storywriter","1"
"Phil Lorin","Screenwriter","1"
"Josh Cooley","Screenwriter","1"
"Joel Cohen","Screenwriter","1"
"Valerie LaPointe","Storywriter","1"
"Brian Fee","Storywriter","1"
"Brad Lewis","Producer","1"
"Kelsey Mann","Director","1"
"Stephany Folsom","Storywriter","1"
"John Hoberg","Screenwriter","1"
"Jorgen Klubien","Screenwriter","1"
